dish,total_ingredients,mapped_ingredients,unmapped_ingredients,ifct_coverage_percent,assumption_count,external_data_count,calculation_status
Chicken Kolhapuri,7,7,0,100.0,0,0,COMPLETE_IFCT
Chips,1,0,1,0.0,0,0,INSUFFICIENT_DATA
Chocolate,1,0,1,0.0,0,0,INSUFFICIENT_DATA
Chocolate Pie,1,0,1,0.0,0,0,INSUFFICIENT_DATA
Chole Bhature,6,6,0,100.0,1,0,ASSUMPTION_INCLUDED
Chutney,4,4,0,100.0,0,0,COMPLETE_IFCT
Coconut Laddu,3,3,0,100.0,0,2,EXTERNAL_DATA_INCLUDED
Coffee,3,3,0,100.0,1,2,EXTERNAL_DATA_INCLUDED
Corn Peas Masala,5,5,0,100.0,0,0,COMPLETE_IFCT
Cornflakes,1,0,1,0.0,0,0,INSUFFICIENT_DATA
Cream Roll,1,0,1,0.0,0,0,INSUFFICIENT_DATA
Crispy Dal Kachori,3,3,0,100.0,0,0,COMPLETE_IFCT
Cucumber Salad,2,2,0,100.0,0,0,COMPLETE_IFCT
Custard,3,3,0,100.0,0,1,EXTERNAL_DATA_INCLUDED
Dahi Aloo,4,4,0,100.0,1,0,ASSUMPTION_INCLUDED
Dal Makhani,7,7,0,100.0,0,1,EXTERNAL_DATA_INCLUDED
Dal Maratha,6,6,0,100.0,0,0,COMPLETE_IFCT
Dal Palak,5,5,0,100.0,0,0,COMPLETE_IFCT
Danish Bun,1,1,0,100.0,0,1,EXTERNAL_DATA_INCLUDED
Dhaba Dal,7,7,0,100.0,0,0,COMPLETE_IFCT
Dum Aloo,5,5,0,100.0,1,0,ASSUMPTION_INCLUDED
Egg Bhurji,5,5,0,100.0,0,0,COMPLETE_IFCT
Egg Curry,6,6,0,100.0,0,0,COMPLETE_IFCT
Fat Spread,1,0,1,0.0,0,0,INSUFFICIENT_DATA
Fryums,1,0,1,0.0,0,0,INSUFFICIENT_DATA
