canonical_dish,plate_role,dietary_tag,allowed_slots,source_class
Paneer Butter Masala,GRAVY_SABZI,VEGETARIAN,DINNER,PROJECT_DESIGN_CHOICE
Paneer Chettinad,GRAVY_SABZI,VEGETARIAN,DINNER,PROJECT_DESIGN_CHOICE
Paneer Do Pyaza,GRAVY_SABZI,VEGETARIAN,DINNER,PROJECT_DESIGN_CHOICE
Paneer Kolhapuri,GRAVY_SABZI,VEGETARIAN,DINNER,PROJECT_DESIGN_CHOICE
Paneer Lababdar,GRAVY_SABZI,VEGETARIAN,DINNER,PROJECT_DESIGN_CHOICE
Pav Bhaji,STAPLE,VEGETARIAN,BREAKFAST,PROJECT_DESIGN_CHOICE
Pickle,ACCOMPANIMENT,VEGETARIAN,BREAKFAST,PROJECT_DESIGN_CHOICE
Pink Sauce Pasta,STAPLE,VEGETARIAN,E_TEA,PROJECT_DESIGN_CHOICE
Plain Curd,ACCOMPANIMENT,VEGETARIAN,"BREAKFAST,LUNCH",PROJECT_DESIGN_CHOICE
Plain Rice,STAPLE,VEGETARIAN,"DINNER,LUNCH",PROJECT_DESIGN_CHOICE
Poha,STAPLE,VEGETARIAN,BREAKFAST,PROJECT_DESIGN_CHOICE
Poori,STAPLE,VEGETARIAN,BREAKFAST,PROJECT_DESIGN_CHOICE
Poori Aloo Chana,STAPLE,VEGETARIAN,BREAKFAST,PROJECT_DESIGN_CHOICE
Rajmah,DAL_PROTEIN,VEGETARIAN,"DINNER,LUNCH",PROJECT_DESIGN_CHOICE
Rusk,SNACK,VEGETARIAN,E_TEA,PROJECT_DESIGN_CHOICE
Sabudana Kheer,DESSERT,VEGETARIAN,DINNER,PROJECT_DESIGN_CHOICE
Sabut Masoor,DAL_PROTEIN,VEGETARIAN,"DINNER,LUNCH",PROJECT_DESIGN_CHOICE
Samosa,SNACK,VEGETARIAN,E_TEA,PROJECT_DESIGN_CHOICE
Sandwich,STAPLE,VEGETARIAN,BREAKFAST,PROJECT_DESIGN_CHOICE
Sirca Onion,ACCOMPANIMENT,VEGETARIAN,DINNER,PROJECT_DESIGN_CHOICE
Stuffed Paratha,STAPLE,VEGETARIAN,BREAKFAST,PROJECT_DESIGN_CHOICE
Sweet Dalia,STAPLE,VEGETARIAN,BREAKFAST,PROJECT_DESIGN_CHOICE
Tea,BEVERAGE,VEGETARIAN,"BREAKFAST,E_TEA",PROJECT_DESIGN_CHOICE
Tea Cake,SNACK,VEGETARIAN,E_TEA,PROJECT_DESIGN_CHOICE
Tomato,ACCOMPANIMENT,VEGETARIAN,BREAKFAST,PROJECT_DESIGN_CHOICE
Tomato Ketchup,ACCOMPANIMENT,VEGETARIAN,BREAKFAST,PROJECT_DESIGN_CHOICE
Veg Biryani,STAPLE,VEGETARIAN,LUNCH,PROJECT_DESIGN_CHOICE
Veg Fried Rice,STAPLE,VEGETARIAN,DINNER,PROJECT_DESIGN_CHOICE
Veg Jaipuri,DRY_SABZI,VEGETARIAN,LUNCH,PROJECT_DESIGN_CHOICE
Veg Jalfrazi,DRY_SABZI,VEGETARIAN,DINNER,PROJECT_DESIGN_CHOICE
Veg Kofta Curry,GRAVY_SABZI,VEGETARIAN,LUNCH,PROJECT_DESIGN_CHOICE
Veg Korma,GRAVY_SABZI,VEGETARIAN,LUNCH,PROJECT_DESIGN_CHOICE
Veg Manchurian,DRY_SABZI,VEGETARIAN,DINNER,PROJECT_DESIGN_CHOICE
Vermicelli Payasam,DESSERT,VEGETARIAN,DINNER,PROJECT_DESIGN_CHOICE
Vermicelli Pudding with Condensed Milk,DESSERT,VEGETARIAN,DINNER,PROJECT_DESIGN_CHOICE
White Chana,DAL_PROTEIN,VEGETARIAN,DINNER,PROJECT_DESIGN_CHOICE
Yellow Dal Tadka,DAL_PROTEIN,VEGETARIAN,"DINNER,LUNCH",PROJECT_DESIGN_CHOICE
