ifct_code,food_name,scientific_name,food_group,dietary_tag,energy_kcal_per_100g,protein_g_per_100g,fat_g_per_100g,carbohydrate_g_per_100g,fibre_g_per_100g,calcium_mg_per_100g,iron_mg_per_100g,potassium_mg_per_100g,sodium_mg_per_100g,water_g_per_100g,source_class
A001,"Amaranth seed, black",Amaranthus cruentus,Cereals and Millets,VEGETARIAN,356.12,14.59,5.74,59.98,7.02,181.0,9.33,433.0,2.7,9.89,IFCT_DERIVED
A002,"Amaranth seed, pale brown",Amaranthus cruentus,Cereals and Millets,VEGETARIAN,355.88,13.27,5.56,61.46,7.47,162.0,8.02,413.0,2.81,9.2,IFCT_DERIVED
A003,Bajra,Pennisetum typhoideum,Cereals and Millets,VEGETARIAN,347.99,10.96,5.43,61.78,11.49,27.35,6.42,365.0,4.11,8.97,IFCT_DERIVED
A004,Barley,Hordeum vulgare,Cereals and Millets,VEGETARIAN,315.73,10.94,1.3,61.29,15.64,28.64,1.56,268.0,7.56,9.77,IFCT_DERIVED
A005,Jowar,Sorghum vulgare,Cereals and Millets,VEGETARIAN,334.13,9.97,1.73,67.68,10.22,27.6,3.95,328.0,5.42,9.01,IFCT_DERIVED
A006,"Maize, dry",Zea mays,Cereals and Millets,VEGETARIAN,334.13,8.8,3.77,64.77,12.24,8.91,2.49,291.0,4.44,9.26,IFCT_DERIVED
A007,"Maize, tender, local",Zea mays,Cereals and Millets,VEGETARIAN,119.98,3.57,1.4,22.69,3.67,6.35,0.71,167.0,2.24,68.29,IFCT_DERIVED
A008,"Maize, tender, sweet",Zea mays,Cereals and Millets,VEGETARIAN,96.8,4.16,1.35,16.42,3.3,6.37,0.54,297.0,2.23,74.4,IFCT_DERIVED
A009,Quinoa,Chenopodium quinoa,Cereals and Millets,VEGETARIAN,328.39,13.11,5.5,53.65,14.66,198.0,7.51,474.0,4.5,10.43,IFCT_DERIVED
A010,Ragi,Eleusine coracana,Cereals and Millets,VEGETARIAN,320.75,7.16,1.92,66.82,11.18,364.0,4.62,443.0,4.75,10.89,IFCT_DERIVED
A011,"Rice, flakes",Oryza sativa,Cereals and Millets,VEGETARIAN,353.73,7.44,1.14,76.75,3.46,9.19,4.46,148.0,2.58,10.36,IFCT_DERIVED
A012,"Rice, puffed",Oryza sativa,Cereals and Millets,VEGETARIAN,361.85,7.47,1.62,77.68,2.56,15.09,4.55,140.0,3.69,9.4,IFCT_DERIVED
A013,"Rice, raw, brown",Oryza sativa,Cereals and Millets,VEGETARIAN,353.73,9.16,1.24,74.8,4.43,10.93,1.02,199.0,3.64,9.33,IFCT_DERIVED
A014,"Rice, parboiled, milled",Oryza sativa,Cereals and Millets,VEGETARIAN,351.58,7.81,0.55,77.16,3.74,8.11,0.72,142.0,3.16,10.09,IFCT_DERIVED
A015,"Rice, raw, milled",Oryza sativa,Cereals and Millets,VEGETARIAN,356.36,7.94,0.52,78.24,2.81,7.49,0.65,108.0,2.34,9.93,IFCT_DERIVED
A016,Samai,Panicum sumatrense,Cereals and Millets,VEGETARIAN,346.32,10.13,3.89,65.55,7.72,16.06,1.26,105.0,4.77,11.36,IFCT_DERIVED
A017,Varagu,Setaria italica,Cereals and Millets,VEGETARIAN,331.74,8.92,2.55,66.19,6.39,15.27,2.34,94.0,3.35,14.23,IFCT_DERIVED
A018,"Wheat flour, refined",Triticum aestivum,Cereals and Millets,VEGETARIAN,351.82,10.36,0.76,74.27,2.76,20.4,1.77,148.0,1.54,11.34,IFCT_DERIVED
A019,"Wheat flour, atta",Triticum aestivum,Cereals and Millets,VEGETARIAN,320.27,10.57,1.53,64.17,11.36,30.94,4.1,311.0,2.04,11.1,IFCT_DERIVED
A020,"Wheat, whole",Triticum aestivum,Cereals and Millets,VEGETARIAN,321.94,10.59,1.47,64.72,11.23,39.36,3.97,366.0,2.5,10.58,IFCT_DERIVED
A021,"Wheat, bulgur",Triticum aestivum,Cereals and Millets,VEGETARIAN,341.78,10.84,1.45,69.06,8.81,27.09,3.86,330.0,2.09,8.61,IFCT_DERIVED
A022,"Wheat, semolina",Triticum aestivum,Cereals and Millets,VEGETARIAN,333.65,11.38,0.74,68.43,9.72,29.38,2.98,284.0,2.31,8.94,IFCT_DERIVED
A023,"Wheat, vermicelli",Triticum aestivum,Cereals and Millets,VEGETARIAN,332.7,9.7,0.45,70.39,9.28,19.42,2.02,163.0,2.71,9.59,IFCT_DERIVED
A024,"Wheat, vermicelli, roasted",Triticum aestivum,Cereals and Millets,VEGETARIAN,340.11,10.37,0.49,71.42,9.55,22.63,2.09,177.0,3.43,7.61,IFCT_DERIVED
B001,"Bengal gram, dal",Cicer arietinum,Grain Legumes,VEGETARIAN,329.11,21.55,5.31,46.72,15.15,46.32,6.08,957.0,20.83,9.18,IFCT_DERIVED
B002,"Bengal gram, whole",Cicer arietinum,Grain Legumes,VEGETARIAN,287.05,18.77,5.11,39.56,25.22,150.0,6.78,935.0,26.56,8.56,IFCT_DERIVED
B003,"Black gram, dal",Phaseolus mungo,Grain Legumes,VEGETARIAN,324.09,23.06,1.69,51.0,11.93,55.67,4.67,1157.0,18.88,9.16,IFCT_DERIVED
B004,"Black gram, whole",Phaseolus mungo,Grain Legumes,VEGETARIAN,291.35,21.97,1.58,43.99,20.41,86.18,5.97,1093.0,26.8,8.7,IFCT_DERIVED
B005,"Cowpea, brown",Vigna catjang,Grain Legumes,VEGETARIAN,320.27,20.36,1.15,54.62,11.54,81.73,5.9,1241.0,13.68,9.42,IFCT_DERIVED
B006,"Cowpea, white",Vigna catjang,Grain Legumes,VEGETARIAN,320.27,21.25,1.14,53.77,11.7,84.1,5.04,1243.0,12.52,9.32,IFCT_DERIVED
B007,"Field bean, black",Phaseolus vulgaris,Grain Legumes,VEGETARIAN,276.05,19.93,0.92,43.46,23.4,78.16,4.5,1272.0,1.35,9.57,IFCT_DERIVED
B008,"Field bean, brown",Phaseolus vulgaris,Grain Legumes,VEGETARIAN,282.98,19.9,0.98,45.24,22.4,75.2,4.99,1245.0,1.41,8.74,IFCT_DERIVED
B009,"Field bean, white",Phaseolus vulgaris,Grain Legumes,VEGETARIAN,280.35,19.84,0.94,44.53,22.99,77.24,5.5,1360.0,1.7,8.61,IFCT_DERIVED
B010,"Green gram, dal",Vigna radiata,Grain Legumes,VEGETARIAN,325.76,23.88,1.35,52.59,9.37,43.13,3.93,1268.0,10.14,9.77,IFCT_DERIVED
B011,"Green gram, whole",Vigna radiata,Grain Legumes,VEGETARIAN,293.74,22.53,1.14,46.13,17.04,92.43,4.89,1177.0,12.48,9.95,IFCT_DERIVED
B012,"Horse gram, whole",Dolicus biflorus,Grain Legumes,VEGETARIAN,329.59,21.73,0.62,57.24,7.88,269.0,8.76,1065.0,12.14,9.28,IFCT_DERIVED
B013,"Lentil, dal",Lens culinaris,Grain Legumes,VEGETARIAN,322.42,24.35,0.75,52.53,10.43,44.32,7.06,786.0,10.27,9.71,IFCT_DERIVED
B014,"Lentil, whole, brown",Lens culinaris,Grain Legumes,VEGETARIAN,299.0,22.49,0.64,48.47,16.82,76.13,7.57,756.0,11.2,9.2,IFCT_DERIVED
B015,"Lentil, whole, yellowish",Lens culinaris,Grain Legumes,VEGETARIAN,297.8,22.87,0.61,47.91,16.66,76.66,7.91,764.0,10.87,9.75,IFCT_DERIVED
B016,Moth bean,Vigna aconitifolia,Grain Legumes,VEGETARIAN,308.56,19.75,1.76,52.09,15.12,154.0,7.9,1356.0,26.34,8.14,IFCT_DERIVED
B017,"Peas, dry",Pisum sativum,Grain Legumes,VEGETARIAN,303.3,20.43,1.89,48.93,17.01,75.11,5.09,922.0,23.4,9.33,IFCT_DERIVED
B018,"Rajmah, black",Phaseolus vulgaris,Grain Legumes,VEGETARIAN,298.04,19.01,1.62,49.59,17.74,134.0,6.17,1362.0,9.4,8.69,IFCT_DERIVED
B019,"Rajmah, brown",Phaseolus vulgaris,Grain Legumes,VEGETARIAN,297.56,19.5,1.68,48.83,16.95,134.0,6.3,1366.0,10.47,9.68,IFCT_DERIVED
B020,"Rajmah, red",Phaseolus vulgaris,Grain Legumes,VEGETARIAN,299.24,19.91,1.77,48.61,16.57,126.0,6.13,1324.0,10.45,9.87,IFCT_DERIVED
B021,"Red gram, dal",Cajanus cajan,Grain Legumes,VEGETARIAN,330.78,21.7,1.56,55.23,9.06,71.73,3.9,1395.0,18.01,9.2,IFCT_DERIVED
B022,"Red gram, whole",Cajanus cajan,Grain Legumes,VEGETARIAN,273.9,20.47,1.38,42.48,22.84,139.0,5.37,1303.0,19.03,9.3,IFCT_DERIVED
B023,Ricebean,Vigna umbellata,Grain Legumes,VEGETARIAN,302.34,19.97,0.74,51.26,13.37,200.0,4.76,1196.0,10.62,11.12,IFCT_DERIVED
B024,"Soya bean, brown",Glycine max,Grain Legumes,VEGETARIAN,381.45,35.58,19.82,12.79,21.55,239.0,8.29,1613.0,2.07,5.51,IFCT_DERIVED
B025,"Soya bean, white",Glycine max Merr,Grain Legumes,VEGETARIAN,377.39,37.8,19.42,10.16,22.63,195.0,8.22,1634.0,2.83,5.47,IFCT_DERIVED
C001,Agathi leaves,Sesbania grandiflora,Green Leafy Vegetables,VEGETARIAN,70.51,8.01,1.35,5.21,8.6,901.0,4.36,674.0,18.12,74.43,IFCT_DERIVED
C002,"Amaranth leaves, green",Amaranthus gangeticus,Green Leafy Vegetables,VEGETARIAN,30.59,3.29,0.65,2.28,4.41,330.0,4.64,572.0,16.08,86.85,IFCT_DERIVED
C003,"Amaranth leaves, red",Amaranthus gangeticus,Green Leafy Vegetables,VEGETARIAN,33.46,3.93,0.63,2.37,4.91,245.0,7.25,564.0,14.58,85.56,IFCT_DERIVED
C004,"Amaranth leaves, red and green",Amaranthus gangeticus,Green Leafy Vegetables,VEGETARIAN,31.55,3.09,0.53,2.87,4.6,269.0,5.28,597.0,17.55,86.37,IFCT_DERIVED
C005,"Amaranth, spinous, leaves, green",Amaranth spinosus,Green Leafy Vegetables,VEGETARIAN,26.29,3.54,0.36,1.61,5.1,359.0,6.37,569.0,15.66,86.46,IFCT_DERIVED
C006,"Amaranth, spinous, leaves, red and green",Amaranth spinosus,Green Leafy Vegetables,VEGETARIAN,23.66,2.8,0.34,1.45,5.57,372.0,4.58,588.0,16.27,86.64,IFCT_DERIVED
C007,Basella leaves,Basella alba,Green Leafy Vegetables,VEGETARIAN,19.6,1.57,0.45,2.01,2.21,93.89,4.2,337.0,18.74,92.68,IFCT_DERIVED
C008,Bathua leaves,Chenopodium album.,Green Leafy Vegetables,VEGETARIAN,27.72,2.5,0.44,2.56,4.01,211.0,2.66,438.0,10.75,88.77,IFCT_DERIVED
C009,Beetroot leaves,Beta vulgaris,Green Leafy Vegetables,VEGETARIAN,34.66,2.38,0.75,3.86,3.64,151.0,5.8,530.0,111.0,86.68,IFCT_DERIVED
C010,"Betel leaves, big (kolkata)",Piper betle,Green Leafy Vegetables,VEGETARIAN,48.28,2.51,0.75,7.37,2.12,207.0,3.0,649.0,16.8,84.93,IFCT_DERIVED
C011,"Betel leaves, small",Piper betle,Green Leafy Vegetables,VEGETARIAN,43.74,2.62,0.75,6.16,1.97,196.0,2.87,678.0,14.04,85.92,IFCT_DERIVED
C012,Brussels sprouts,Brassica oleracea var. gemmifera,Green Leafy Vegetables,VEGETARIAN,44.22,4.26,0.5,5.09,4.29,53.99,1.54,639.0,18.51,84.39,IFCT_DERIVED
C013,"Cabbage, Chinese",Brassica rupa,Green Leafy Vegetables,VEGETARIAN,17.93,1.58,0.13,2.36,2.01,58.46,0.39,258.0,20.28,93.19,IFCT_DERIVED
C014,"Cabbage, collard greens",Brassica oleracea var. Viridis,Green Leafy Vegetables,VEGETARIAN,30.11,3.63,0.27,2.79,2.98,170.0,2.67,292.0,22.98,89.53,IFCT_DERIVED
C015,"Cabbage, green",Brassica oleracea var. capitata f. alba,Green Leafy Vegetables,VEGETARIAN,21.51,1.36,0.12,3.25,2.76,51.76,0.35,233.0,14.98,91.85,IFCT_DERIVED
C016,"Cabbage, violet",Brassica oleracea var. capitata f. rubra,Green Leafy Vegetables,VEGETARIAN,23.18,1.39,0.21,3.54,2.21,48.0,0.24,201.0,24.0,91.94,IFCT_DERIVED
C017,Cauliflower leaves,Brassica oleracea var. botrytis,Green Leafy Vegetables,VEGETARIAN,35.37,3.9,0.42,3.39,3.43,96.7,2.42,374.0,24.31,87.64,IFCT_DERIVED
C018,"Colocasia leaves, green",Colocasia antiquorum,Green Leafy Vegetables,VEGETARIAN,43.5,3.42,1.38,3.69,5.6,216.0,3.41,404.0,12.08,83.61,IFCT_DERIVED
C019,Drumstick leaves,Moringa oleifera,Green Leafy Vegetables,VEGETARIAN,67.4,6.41,1.64,5.62,8.21,314.0,4.56,397.0,9.34,75.65,IFCT_DERIVED
C020,Fenugreek leaves,Trigonella foenum-graecum,Green Leafy Vegetables,VEGETARIAN,34.42,3.68,0.83,2.17,4.9,274.0,5.69,226.0,47.01,86.73,IFCT_DERIVED
C021,Garden cress,Lepidium sativum,Green Leafy Vegetables,VEGETARIAN,49.71,5.62,0.8,4.48,2.6,217.0,6.19,379.0,25.35,84.02,IFCT_DERIVED
C022,"Gogu leaves, green stem",Hibiscus cannabinus,Green Leafy Vegetables,VEGETARIAN,36.33,1.86,1.09,4.06,4.59,145.0,7.65,260.0,12.34,87.42,IFCT_DERIVED
C023,"Gogu leaves, red stem",Hibiscus cannabinus,Green Leafy Vegetables,VEGETARIAN,36.57,1.85,1.07,4.24,3.89,129.0,9.56,161.0,14.08,87.98,IFCT_DERIVED
C024,"Knol-Khol, leaves",Brassica oleracea,Green Leafy Vegetables,VEGETARIAN,42.54,3.12,0.35,6.16,2.76,368.0,2.51,309.0,26.8,86.2,IFCT_DERIVED
C025,Lettuce,Lactuca sativa,Green Leafy Vegetables,VEGETARIAN,21.75,1.54,0.27,3.01,1.79,56.71,2.73,279.0,17.53,92.27,IFCT_DERIVED
C026,Mustard leaves,Brassica juncea,Green Leafy Vegetables,VEGETARIAN,30.35,3.52,0.51,2.41,3.92,191.0,2.84,403.0,19.14,88.17,IFCT_DERIVED
C027,Pak Choi leaves,Brassica rapa var. chinensis,Green Leafy Vegetables,VEGETARIAN,16.01,1.41,0.25,1.78,1.91,150.0,3.78,250.0,33.73,93.56,IFCT_DERIVED
C028,Parsley,Petroselinum crispum,Green Leafy Vegetables,VEGETARIAN,72.9,5.55,1.14,9.43,3.87,288.0,5.51,466.0,53.08,77.76,IFCT_DERIVED
C029,Ponnaganni,Alternanthera sessilis,Green Leafy Vegetables,VEGETARIAN,50.91,5.29,0.71,5.17,6.74,388.0,3.88,457.0,39.36,79.43,IFCT_DERIVED
C030,"Pumpkin leaves, tender",Cucurbit maxima,Green Leafy Vegetables,VEGETARIAN,44.22,4.21,0.74,4.75,2.25,271.0,5.58,423.0,12.2,85.82,IFCT_DERIVED
C031,Radish leaves,Raphanus sativus,Green Leafy Vegetables,VEGETARIAN,26.05,2.22,0.51,2.77,1.82,234.0,3.82,304.0,17.39,91.19,IFCT_DERIVED
C032,Rumex leaves,Rumex patientia,Green Leafy Vegetables,VEGETARIAN,19.6,1.62,0.33,2.33,1.27,131.0,3.67,336.0,19.95,93.18,IFCT_DERIVED
C033,Spinach,Spinacia oleracea,Green Leafy Vegetables,VEGETARIAN,24.38,2.14,0.64,2.05,2.38,82.29,2.95,625.0,42.55,90.31,IFCT_DERIVED
C034,"Tamarind leaves, tender",Tamaridus indica,Green Leafy Vegetables,VEGETARIAN,71.46,5.84,0.49,10.04,10.7,66.93,2.84,465.0,13.43,71.69,IFCT_DERIVED
D001,Ash gourd,Benincasa hispida,Other Vegetables,VEGETARIAN,17.45,0.79,0.14,2.84,3.37,19.39,0.47,372.0,0.77,92.17,IFCT_DERIVED
D002,"Bamboo shoot, tender",Bambusa vulgaris,Other Vegetables,VEGETARIAN,16.25,1.33,0.35,1.67,1.55,10.0,0.33,422.0,1.12,94.56,IFCT_DERIVED
D003,"Bean scarlet, tender",Phaseolus coccineus,Other Vegetables,VEGETARIAN,42.78,2.86,0.99,5.16,4.5,43.48,0.73,164.0,1.46,85.51,IFCT_DERIVED
D004,"Bitter gourd, jagged, teeth ridges, elongate",Momordica charantia,Other Vegetables,VEGETARIAN,20.79,1.44,0.24,2.82,3.78,21.36,1.15,326.0,13.09,90.87,IFCT_DERIVED
D005,"Bitter gourd, jagged, teeth ridges, short",Momordica charantia,Other Vegetables,VEGETARIAN,18.88,1.34,0.24,2.53,3.49,16.27,1.08,282.0,12.59,91.6,IFCT_DERIVED
D006,"Bitter gourd, jagged, smooth ridges, elongate",Momordica charantia,Other Vegetables,VEGETARIAN,19.36,1.61,0.26,2.29,3.72,17.62,1.28,356.0,11.16,91.24,IFCT_DERIVED
D007,"Bottle gourd, elongate, pale green",Lagenaria vulgaris,Other Vegetables,VEGETARIAN,10.99,0.53,0.13,1.68,2.12,15.42,0.26,124.0,1.46,95.17,IFCT_DERIVED
D008,"Bottle gourd, round, pale green",Lagenaria vulgaris,Other Vegetables,VEGETARIAN,13.62,0.42,0.12,2.53,2.1,15.05,0.28,116.0,1.52,94.5,IFCT_DERIVED
D009,"Bottle gourd, elongate, dark green",Lagenaria vulgaris,Other Vegetables,VEGETARIAN,12.91,0.49,0.13,2.25,2.11,16.64,0.34,171.0,1.35,94.63,IFCT_DERIVED
D010,Brinjal 1,Solanum melongena,Other Vegetables,VEGETARIAN,27.25,1.77,0.39,3.49,3.57,22.17,0.49,302.0,3.15,89.95,IFCT_DERIVED
D011,Brinjal 2,Solanum melongena,Other Vegetables,VEGETARIAN,23.66,1.82,0.34,2.71,4.01,17.13,0.44,206.0,3.92,90.28,IFCT_DERIVED
D012,Brinjal 3,Solanum melongena,Other Vegetables,VEGETARIAN,24.38,1.36,0.33,3.38,4.26,14.58,0.34,192.0,3.12,90.02,IFCT_DERIVED
D013,Brinjal 4,Solanum melongena,Other Vegetables,VEGETARIAN,23.9,1.51,0.31,3.19,4.04,13.39,0.38,268.0,3.31,90.28,IFCT_DERIVED
D014,Brinjal 5,Solanum melongena,Other Vegetables,VEGETARIAN,26.53,1.38,0.29,4.02,4.13,17.03,0.36,227.0,4.03,89.45,IFCT_DERIVED
D015,Brinjal 6,Solanum melongena,Other Vegetables,VEGETARIAN,23.18,1.46,0.29,3.29,3.68,17.17,0.39,289.0,3.75,90.57,IFCT_DERIVED
D016,Brinjal 7,Solanum melongena,Other Vegetables,VEGETARIAN,23.42,1.4,0.37,3.1,3.32,19.95,0.27,238.0,3.45,91.25,IFCT_DERIVED
D017,Brinjal 8,Solanum melongena,Other Vegetables,VEGETARIAN,27.96,1.82,0.33,3.75,4.01,21.0,0.42,284.0,4.73,89.28,IFCT_DERIVED
D018,Brinjal 9,Solanum melongena,Other Vegetables,VEGETARIAN,25.33,1.47,0.35,3.52,4.0,18.79,0.38,224.0,3.08,89.83,IFCT_DERIVED
D019,Brinjal 10,Solanum melongena,Other Vegetables,VEGETARIAN,27.72,1.68,0.25,4.08,3.9,15.59,0.41,252.0,4.35,89.38,IFCT_DERIVED
D020,Brinjal 11,Solanum melongena,Other Vegetables,VEGETARIAN,25.1,1.43,0.31,3.53,4.12,15.92,0.37,260.0,3.47,89.93,IFCT_DERIVED
D021,Brinjal 12,Solanum melongena,Other Vegetables,VEGETARIAN,22.23,1.6,0.27,2.73,3.89,19.85,0.37,259.0,3.88,90.94,IFCT_DERIVED
D022,Brinjal 13,Solanum melongena,Other Vegetables,VEGETARIAN,29.64,1.49,0.31,4.51,3.92,18.95,0.32,260.0,3.0,89.14,IFCT_DERIVED
D023,Brinjal 14,Solanum melongena,Other Vegetables,VEGETARIAN,25.33,1.56,0.35,3.27,3.87,14.43,0.32,246.0,3.71,90.31,IFCT_DERIVED
D024,Brinjal 15,Solanum melongena,Other Vegetables,VEGETARIAN,27.25,1.58,0.29,3.96,3.99,17.82,0.36,215.0,3.34,89.44,IFCT_DERIVED
D025,Brinjal 16,Solanum melongena,Other Vegetables,VEGETARIAN,24.62,1.26,0.34,3.46,3.74,18.33,0.32,294.0,3.22,90.39,IFCT_DERIVED
D026,Brinjal 17,Solanum melongena,Other Vegetables,VEGETARIAN,21.75,1.18,0.36,2.89,3.94,20.83,0.5,233.0,3.09,90.83,IFCT_DERIVED
D027,Brinjal 18,Solanum melongena,Other Vegetables,VEGETARIAN,27.72,1.47,0.33,4.1,4.38,16.24,0.38,208.0,3.63,89.07,IFCT_DERIVED
D028,Brinjal 19,Solanum melongena,Other Vegetables,VEGETARIAN,23.9,1.26,0.31,3.39,3.97,16.1,0.32,243.0,3.11,90.41,IFCT_DERIVED
D029,Brinjal 20,Solanum melongena,Other Vegetables,VEGETARIAN,23.66,1.44,0.34,3.15,3.73,14.36,0.33,239.0,3.58,90.65,IFCT_DERIVED
D030,Brinjal 21,Solanum melongena,Other Vegetables,VEGETARIAN,27.01,1.36,0.35,3.93,3.85,15.27,0.34,252.0,3.06,89.83,IFCT_DERIVED
D031,Brinjal - all varieties,Solanum melongena,Other Vegetables,VEGETARIAN,25.33,1.48,0.32,3.52,3.98,16.59,0.37,247.0,3.55,90.0,IFCT_DERIVED
D032,Broad beans,Vicia faba,Other Vegetables,VEGETARIAN,29.4,3.85,0.15,2.11,8.63,64.37,0.94,362.0,20.74,84.2,IFCT_DERIVED
D033,"Capsicum, green",Capsicum annuum,Other Vegetables,VEGETARIAN,16.25,1.11,0.34,1.84,2.06,14.75,0.48,154.0,1.84,93.89,IFCT_DERIVED
D034,"Capsicum, red",Capsicum annuum,Other Vegetables,VEGETARIAN,19.84,1.47,0.47,2.14,2.19,15.76,0.38,224.0,1.7,92.99,IFCT_DERIVED
D035,"Capsicum, yellow",Capsicum annuum,Other Vegetables,VEGETARIAN,18.64,1.35,0.41,1.95,2.19,19.13,0.69,242.0,1.56,93.38,IFCT_DERIVED
D036,Cauliflower,Brassica oleracea var. botrytis,Other Vegetables,VEGETARIAN,22.94,2.15,0.44,2.03,3.71,25.16,0.96,329.0,30.72,90.76,IFCT_DERIVED
D037,Celery stalk,Apium graveolens,Other Vegetables,VEGETARIAN,16.49,0.98,0.24,2.33,2.09,38.73,1.36,298.0,10.68,92.87,IFCT_DERIVED
D038,Cho-cho-marrow,Sechium edule,Other Vegetables,VEGETARIAN,18.88,0.66,0.15,3.47,1.55,18.64,0.48,120.0,1.28,93.78,IFCT_DERIVED
D039,Cluster beans,Cyamopsis tetragonobola,Other Vegetables,VEGETARIAN,40.15,3.55,0.37,4.91,4.83,121.0,3.9,301.0,4.05,84.65,IFCT_DERIVED
D040,"Colocasia, stem, black",Colocasia esculenta,Other Vegetables,VEGETARIAN,23.9,0.76,0.34,3.83,3.01,29.46,0.77,381.0,0.45,91.15,IFCT_DERIVED
D041,"Colocasia, stem, green",Colocasia esculenta,Other Vegetables,VEGETARIAN,19.36,0.91,0.22,2.86,2.33,40.21,0.55,414.0,0.6,92.67,IFCT_DERIVED
D042,"Corn, baby",Zea mays,Other Vegetables,VEGETARIAN,73.14,2.69,1.33,11.66,6.09,76.51,1.45,260.0,1.4,75.44,IFCT_DERIVED
D043,"Cucumber, green, elongate",Cucumis sativus,Other Vegetables,VEGETARIAN,19.6,0.71,0.16,3.48,2.14,16.39,0.46,183.0,6.33,92.96,IFCT_DERIVED
D044,"Cucumber, green, short",Cucumis sativus,Other Vegetables,VEGETARIAN,17.45,0.83,0.18,2.82,2.13,19.25,0.59,198.0,6.11,93.52,IFCT_DERIVED
D045,"Cucumber, orange, round",Cucumis sativus,Other Vegetables,VEGETARIAN,19.6,0.98,0.24,3.01,2.46,21.98,0.45,185.0,8.16,92.8,IFCT_DERIVED
D046,Drumstick,Moringa oleifera,Other Vegetables,VEGETARIAN,29.4,2.62,0.12,3.76,6.83,33.3,0.73,419.0,22.38,85.39,IFCT_DERIVED
D047,"Field beans, tender, broad",Phaseolus vulgaris,Other Vegetables,VEGETARIAN,30.83,3.06,0.64,2.75,5.64,70.57,1.95,345.0,14.14,86.98,IFCT_DERIVED
D048,"Field beans, tender, lean",Phaseolus vulgaris,Other Vegetables,VEGETARIAN,33.46,3.71,0.6,2.85,6.19,58.59,1.48,314.0,12.76,85.57,IFCT_DERIVED
D049,"French beans, country",Phaseolus vulgaris,Other Vegetables,VEGETARIAN,24.38,2.49,0.26,2.68,4.38,55.99,1.25,324.0,8.84,89.14,IFCT_DERIVED
D050,"French beans, hybrid",Phaseolus vulgaris,Other Vegetables,VEGETARIAN,22.23,2.12,0.19,2.63,4.18,49.9,0.98,317.0,9.18,90.11,IFCT_DERIVED
D051,"Jack fruit, raw",Artocarpus heterophyllus,Other Vegetables,VEGETARIAN,26.29,1.98,0.35,3.48,7.69,45.74,0.31,327.0,3.53,85.52,IFCT_DERIVED
D052,"Jack fruit, seeds, mature",Artocarpus heterophyllus,Other Vegetables,VEGETARIAN,76.96,5.79,0.44,11.81,8.63,37.56,0.37,376.0,4.0,72.32,IFCT_DERIVED
D053,Knol - Khol,Brassica oleracea,Other Vegetables,VEGETARIAN,16.01,1.58,0.35,1.39,2.75,35.26,0.24,327.0,27.46,93.14,IFCT_DERIVED
D054,"Kovai, big",Coccinia cordifolia,Other Vegetables,VEGETARIAN,17.45,1.39,0.24,2.01,3.0,34.39,0.38,198.0,1.53,92.78,IFCT_DERIVED
D055,"Kovai, small",Coccinia cordifolia,Other Vegetables,VEGETARIAN,19.12,1.22,0.24,2.41,3.25,37.12,0.29,167.0,2.2,92.4,IFCT_DERIVED
D056,Ladies finger,Abelmoschus esculentus,Other Vegetables,VEGETARIAN,27.49,2.08,0.22,3.62,4.08,86.12,0.84,263.0,7.37,89.06,IFCT_DERIVED
D057,"Mango, green, raw",Mangifera indica,Other Vegetables,VEGETARIAN,49.0,0.69,0.08,10.59,3.01,27.0,0.4,147.0,33.15,85.14,IFCT_DERIVED
D058,"Onion, stalk",Allium wakegi,Other Vegetables,VEGETARIAN,25.57,2.07,0.26,2.99,5.21,31.12,3.09,312.0,15.52,88.35,IFCT_DERIVED
D059,"Papaya, raw",Carica papaya,Other Vegetables,VEGETARIAN,23.9,0.5,0.23,4.4,2.28,22.72,0.2,173.0,7.55,92.04,IFCT_DERIVED
D060,Parwar,Trichosanthes dioica,Other Vegetables,VEGETARIAN,24.14,1.4,0.3,3.54,2.61,30.76,0.5,117.0,2.29,91.57,IFCT_DERIVED
D061,"Peas, fresh",Pisum sativum,Other Vegetables,VEGETARIAN,81.26,7.25,0.13,11.88,6.32,28.24,1.58,249.0,3.66,73.37,IFCT_DERIVED
D062,"Plantain, flower",Musa sapientum,Other Vegetables,VEGETARIAN,21.27,1.47,0.63,2.15,5.25,34.06,0.4,488.0,7.51,89.14,IFCT_DERIVED
D063,"Plantain, green",Musa sapientum,Other Vegetables,VEGETARIAN,79.83,1.18,0.23,17.58,3.6,13.8,0.34,402.0,18.57,76.15,IFCT_DERIVED
D064,"Plantain, stem",Musa sapientum,Other Vegetables,VEGETARIAN,39.44,0.35,0.16,8.64,2.12,11.24,0.26,373.0,23.17,87.53,IFCT_DERIVED
D065,"Pumpkin, green, cylindrical",Cucurbita maxima,Other Vegetables,VEGETARIAN,24.62,0.87,0.18,4.22,2.53,24.1,0.29,186.0,5.21,91.73,IFCT_DERIVED
D066,"Pumpkin, orange, round",Cucurbita maxima,Other Vegetables,VEGETARIAN,23.18,0.84,0.16,4.0,2.56,23.06,0.36,253.0,8.81,91.85,IFCT_DERIVED
D067,"Red gram, tender, fresh",Cajanus cajan,Other Vegetables,VEGETARIAN,124.28,8.09,0.92,19.46,5.9,58.58,1.18,616.0,2.54,64.0,IFCT_DERIVED
D068,Ridge gourd,Luffa acutangula,Other Vegetables,VEGETARIAN,13.15,0.91,0.14,1.72,1.81,13.7,0.42,118.0,4.71,94.99,IFCT_DERIVED
